budget_total,days,travelers,month,travel_mode,road_option,primary_circuit,transport_type,scope,bppd,tier,pace,label
89166,5,3,2,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,5944.4,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
217129,8,5,9,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,5428.23,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
2225205,13,5,3,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,34233.92,LUX,RELAXED,PLAN_LOOP_KKH
567032,8,3,1,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,23626.33,LUX,NORMAL,PLAN_SKARDU_AIR
421163,10,3,12,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,14038.77,LUX,RELAXED,PLAN_SKARDU_AIR
555061,15,2,12,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,18502.03,LUX,RELAXED,PLAN_LOOP_KKH
865895,7,6,2,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,20616.55,LUX,NORMAL,PLAN_HUNZA_KKH_LONG
1890072,11,7,11,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,24546.39,LUX,RELAXED,PLAN_SKARDU_AIR
1422424,13,6,1,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,18236.21,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
1853816,16,7,5,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,16551.93,LUX,RELAXED,PLAN_HUNZA_AIR
2747200,14,7,3,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,28032.65,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
1525300,9,5,4,AIR,NONE,HUNZA_SIDE,PUBLIC,SINGLE,33895.56,LUX,RELAXED,PLAN_HUNZA_AIR
195119,3,6,12,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,10839.94,MID,FAST,PLAN_HUNZA_KKH_SHORT
1338076,10,5,1,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,26761.52,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
1568993,7,7,5,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,32020.27,LUX,NORMAL,PLAN_SKARDU_AIR
299324,6,3,11,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,16629.11,LUX,NORMAL,PLAN_SKARDU_AIR
139682,4,1,1,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,34920.5,LUX,FAST,PLAN_SKARDU_KKH_SHORT
2293706,17,7,2,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,19274.84,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
777556,12,3,12,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,21598.78,LUX,RELAXED,PLAN_SKARDU_AIR
2563249,17,7,12,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,21539.91,LUX,RELAXED,PLAN_LOOP_KKH
113735,3,4,9,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,9477.92,MID,FAST,PLAN_SKARDU_KKH_SHORT
198017,12,2,11,ROAD,KKH,HUNZA_SIDE,PUBLIC,LOOP,8250.71,MID,RELAXED,PLAN_LOOP_KKH
257527,5,6,12,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,8584.23,MID,NORMAL,PLAN_SKARDU_KKH_SHORT
1022759,16,2,6,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,31961.22,LUX,RELAXED,PLAN_SKARDU_AIR
474864,15,1,1,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,31657.6,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
768625,4,3,6,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,64052.08,LUX,FAST,PLAN_SKARDU_AIR
232368,5,4,10,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,11618.4,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
308161,6,4,5,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,12840.04,LUX,NORMAL,PLAN_HUNZA_KKH_SHORT
2069508,17,3,7,ROAD,KKH,HUNZA_SIDE,PUBLIC,SINGLE,40578.59,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
2057255,20,5,3,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,20572.55,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
413441,8,4,7,ROAD,BABUSAR,SKARDU_SIDE,PUBLIC,SINGLE,12920.03,LUX,NORMAL,PLAN_SKARDU_KKH_SHORT
838519,12,6,10,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,11646.1,MID,RELAXED,PLAN_HUNZA_KKH_LONG
527448,20,2,6,ROAD,KKH,SKARDU_SIDE,OWN,SINGLE,13186.2,LUX,RELAXED,PLAN_SKARDU_KKH_LONG
1421380,14,4,1,AIR,NONE,SKARDU_SIDE,OWN,SINGLE,25381.79,LUX,RELAXED,PLAN_SKARDU_AIR
54490,3,1,3,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,18163.33,LUX,FAST,PLAN_SKARDU_KKH_SHORT
1198519,18,7,12,ROAD,KKH,SKARDU_SIDE,OWN,LOOP,9512.06,MID,RELAXED,PLAN_LOOP_KKH
1448206,11,6,7,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,21942.52,LUX,RELAXED,PLAN_HUNZA_AIR
144019,4,6,5,ROAD,KKH,SKARDU_SIDE,PUBLIC,SINGLE,6000.79,MID,FAST,PLAN_SKARDU_KKH_SHORT
516868,9,2,3,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,28714.89,LUX,RELAXED,PLAN_HUNZA_AIR
221326,5,1,7,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,44265.2,LUX,NORMAL,PLAN_HUNZA_AIR
561698,20,1,8,ROAD,KKH,SKARDU_SIDE,PUBLIC,LOOP,28084.9,LUX,RELAXED,PLAN_LOOP_KKH
140396,5,3,11,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,9359.73,MID,NORMAL,PLAN_HUNZA_KKH_SHORT
863714,13,7,12,ROAD,KKH,HUNZA_SIDE,OWN,SINGLE,9491.36,MID,RELAXED,PLAN_HUNZA_KKH_LONG
562545,11,3,10,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,17046.82,LUX,RELAXED,PLAN_HUNZA_AIR
893223,6,6,2,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,24811.75,LUX,NORMAL,PLAN_SKARDU_AIR
922345,10,3,2,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,30744.83,LUX,RELAXED,PLAN_SKARDU_AIR
1504084,9,6,5,AIR,NONE,SKARDU_SIDE,PUBLIC,SINGLE,27853.41,LUX,RELAXED,PLAN_SKARDU_AIR
1690949,21,5,10,ROAD,BABUSAR,HUNZA_SIDE,PUBLIC,SINGLE,16104.28,LUX,RELAXED,PLAN_HUNZA_KKH_LONG
461138,7,3,10,AIR,NONE,HUNZA_SIDE,OWN,SINGLE,21958.95,LUX,NORMAL,PLAN_HUNZA_AIR
